CO(GT),NO2(GT),CO Class
2.6,113,2
2,92,1
2.2,114,2
2.2,122,2
1.6,116,1
1.2,96,1
1.2,77,1
1,76,0
0.9,60,0
0.6,34,0
0.7,28,0
0.7,48,0
1.1,82,1
2,112,1
2.2,101,2
1.7,98,1
1.5,92,1
1.6,95,1
1.9,112,1
2.9,128,2
2.2,126,2
2.2,131,2
2.9,135,2
4.8,151,2
6.9,172,2
6.1,165,2
3.9,136,2
1.5,85,1
1,53,0
1.7,97,1
1.9,110,1
1.4,91,1
0.8,32,0
0.6,44,0
0.8,71,0
1.4,104,1
4.4,141,2
3.1,122,2
2.7,143,2
2.1,113,2
2.5,116,2
2.7,123,2
2.9,126,2
2.8,120,2
2.4,119,2
3.9,149,2
3.7,145,2
6.6,170,2
4.4,149,2
3.5,139,2
5.4,134,2
2.7,113,2
1.9,97,1
1.6,82,1
1.7,83,1
1,65,0
1.2,60,1
1.5,77,1
2.7,96,2
3.7,119,2
3.2,126,2
4.1,158,2
3.6,161,2
2.8,124,2
2,102,1
2,116,1
2.5,124,2
2.3,125,2
3.2,148,2
4.2,165,2
4.2,161,2
4.2,159,2
3.1,143,2
2.6,130,2
2.9,129,2
2.8,119,2
2.5,104,2
2.4,82,2
1.2,70,1
1,63,0
0.9,67,0
1.4,84,1
1.6,83,1
2.2,98,2
2.8,114,2
2.8,119,2
2,104,1
1.8,102,1
1.9,107,1
3,129,2
2.9,128,2
2.5,121,2
4.6,157,2
5.9,173,2
3.4,146,2
2.1,121,2
2.2,119,2
1.8,99,1
1.8,93,1
1.8,88,1
1.1,71,1
1,74,0
1.4,80,1
2.2,89,2
5.5,114,2
8.1,149,2
5.8,157,2
4.2,155,2
3.1,134,2
2.9,119,2
2.9,111,2
2.5,104,2
2.3,99,2
2.8,110,2
6.1,162,2
8,187,2
6.5,165,2
4.2,145,2
3.2,125,2
1.4,101,1
2.1,103,2
1.2,88,1
0.8,61,0
0.7,59,0
0.6,52,0
0.9,64,0
1.3,70,1
3.4,97,2
3.7,95,2
5.3,150,2
4.1,162,2
3.3,154,2
4,161,2
3.8,161,2
2.8,128,2
2.9,129,2
2.9,133,2
3.4,139,2
3.9,137,2
3.2,143,2
5.1,177,2
2.6,138,2
1.7,117,1
1.7,107,1
1.2,90,1
0.9,79,0
0.7,60,0
0.5,40,0
0.5,53,0
1.6,84,1
4.1,108,2
6.6,127,2
4.3,134,2
2.9,135,2
2.5,142,2
2.8,153,2
2.6,123,2
2,104,1
2.9,129,2
2.5,114,2
5,158,2
7.6,194,2
6.7,182,2
5.7,180,2
2.8,136,2
2.6,127,2
2.3,116,2
1.4,107,1
1,88,0
0.7,78,0
0.6,57,0
0.7,71,0
1.5,85,1
4.7,124,2
6.6,151,2
4.5,150,2
2.8,152,2
2.2,139,2
2.2,133,2
2.3,126,2
2.2,128,2
2.8,169,2
2.7,149,2
3.7,156,2
5.1,168,2
5.1,176,2
3.2,135,2
2.1,121,2
1.7,99,1
2,106,1
1.6,96,1
0.9,63,0
0.7,32,0
0.5,28,0
0.7,61,0
1.5,99,1
4.8,157,2
6.2,166,2
4,149,2
3.3,135,2
2.8,127,2
3,122,2
3.3,135,2
3.5,139,2
4,147,2
4.6,158,2
4.1,146,2
4.5,144,2
3.9,138,2
4,143,2
2.2,116,2
2.1,109,2
1.7,92,1
1.6,83,1
1.3,81,1
1.3,55,1
0.8,53,0
0.8,67,0
1.1,91,1
2.1,113,2
2.4,102,2
2.6,107,2
2.8,113,2
2.6,108,2
2.6,105,2
2.1,93,2
1.7,87,1
1.6,76,1
2.1,94,2
2.3,110,2
3.5,136,2
3.9,139,2
3.3,125,2
2.3,111,2
2.1,97,2
2.8,107,2
2.1,90,2
1.6,84,1
1.6,87,1
1.1,66,1
0.7,36,0
0.8,62,0
1.2,91,1
1.4,89,1
1.7,93,1
1.8,81,1
1.8,82,1
1.9,80,1
1.3,48,1
1.6,61,1
1.9,89,1
2.3,105,2
3.8,116,2
3.5,119,2
4.3,144,2
2.8,123,2
1.9,105,1
1.9,93,1
1.7,86,1
1.5,76,1
0.6,33,0
0.4,27,0
0.3,23,0
0.6,46,0
1.2,76,1
3.6,116,2
3.7,115,2
1.8,83,1
1.6,87,1
1.9,90,1
2,87,1
2.2,99,2
2.1,99,2
2.3,101,2
2.6,103,2
3.8,129,2
4.4,143,2
4.5,146,2
3.3,124,2
2,113,1
1.1,80,1
0.9,72,0
0.8,64,0
0.7,70,0
0.5,31,0
0.3,22,0
0.5,47,0
1.1,88,1
3,130,2
3.8,132,2
3.4,132,2
3,131,2
2.7,129,2
3.5,132,2
2.8,110,2
1.9,99,1
2,100,1
3,122,2
1.9,97,1
2.7,112,2
3.3,128,2
1.7,101,1
1.3,96,1
1.3,86,1
1.2,85,1
1.1,79,1
0.9,61,0
0.6,66,0
0.6,54,0
0.8,57,0
1.2,75,1
3.1,97,2
4.4,110,2
3.4,113,2
1.7,88,1
1.5,85,1
1.7,96,1
2.2,106,2
2.7,91,2
2.8,126,2
2.7,130,2
4.5,111,2
3.5,134,2
2.6,136,2
1.7,125,1
1.3,108,1
1.3,87,1
1,89,0
0.7,58,0
0.7,54,0
0.5,28,0
0.5,20,0
0.6,51,0
1.1,82,1
2.7,112,2
3.5,119,2
2.3,99,2
1.6,98,1
1.3,88,1
2,96,1
1.9,81,1
1.9,92,1
2.2,105,2
2,88,1
2.9,103,2
5.2,141,2
4.6,133,2
2.5,119,2
1.5,106,1
1.2,92,1
1.7,97,1
1.4,91,1
1.2,83,1
0.6,59,0
0.7,73,0
0.8,78,0
0.9,90,0
1.6,110,1
3.4,114,2
3.8,119,2
3.1,121,2
2.7,97,2
2,99,1
2.3,85,2
1.9,75,1
1.3,87,1
1.9,102,1
2.3,105,2
2.4,98,2
2.7,93,2
2.6,91,2
1.5,85,1
1.2,74,1
1.1,87,1
1.5,79,1
1,78,0
1.2,63,1
1.1,48,1
0.8,59,0
0.9,65,0
1.1,71,1
1.5,84,1
1.8,93,1
2.1,99,2
2.1,93,2
1.9,96,1
2.1,114,2
2.5,101,2
1.9,108,1
2.2,117,2
2.3,125,2
2.7,133,2
3,119,2
2.8,107,2
2.2,96,2
1.6,105,1
2.1,102,2
2.3,97,2
2.3,79,2
1.7,69,1
2.2,52,2
1.3,62,1
0.8,69,0
1.1,75,1
1.4,83,1
1.3,94,1
1.9,96,1
2.3,86,2
2.3,72,2
1.8,53,1
1.4,65,1
1,70,0
1.4,75,1
1.3,86,1
1.3,94,1
1.4,103,1
1.9,81,1
1.8,80,1
1.1,77,1
1.1,58,1
1.1,31,1
0.9,38,0
0.6,59,0
0.5,70,0
0.7,75,0
0.6,103,0
0.7,134,0
0.9,98,0
2.9,97,2
4.1,98,2
1.5,78,1
1.5,83,1
1.5,92,1
1.4,81,1
1.6,90,1
1.5,95,1
1.4,114,1
1.5,106,1
1.9,99,1
2.5,90,2
2.1,82,2
1.6,74,1
1.2,76,1
1.1,66,1
1,73,0
1,69,0
0.7,71,0
0.7,98,0
0.8,115,0
0.7,130,0
1.1,150,1
2.6,159,2
4,146,2
4.2,138,2
4.7,128,2
3.9,97,2
3.7,91,2
3.4,81,2
2.2,99,2
1.9,101,1
1.6,106,1
2.1,102,2
2.2,84,2
2.7,81,2
2.4,91,2
1.3,82,1
1.2,64,1
1.5,70,1
1.3,26,1
1,58,0
0.9,93,0
0.5,110,0
0.5,115,0
0.6,125,0
1,118,0
3.1,109,2
4.1,123,2
2.2,114,2
1.7,114,1
1.9,119,1
2.9,111,2
2.2,103,2
2.6,103,2
3.1,107,2
2.3,105,2
2.4,91,2
2.8,79,2
2.7,79,2
2.3,86,2
1.5,70,1
1.4,55,1
1.2,49,1
1.6,50,1
1.2,67,1
1.1,94,1
0.9,119,0
0.7,139,0
0.9,113,0
1.7,88,1
4.2,73,2
6.2,73,2
4.6,72,2
2.8,81,2
1.6,93,1
1.7,106,1
1.7,132,1
1.7,164,1
1.9,161,1
2.3,124,2
3.3,113,2
4.2,103,2
5.5,104,2
4.9,93,2
2.5,60,2
2,52,1
2,66,1
2,82,1
1.3,109,1
1,114,0
0.9,139,0
0.7,127,0
1.1,127,1
2.6,135,2
3.9,130,2
5,126,2
3.3,121,2
2.9,122,2
3.1,138,2
3,165,2
2.7,154,2
2.7,168,2
2.6,146,2
3.7,124,2
4.5,124,2
4.7,106,2
5.5,88,2
3,83,2
1.9,74,1
2.3,64,2
1.6,69,1
1.3,91,1
1.2,96,1
0.9,106,0
0.8,124,0
0.8,121,0
0.9,114,0
2,114,1
3,106,2
3.1,89,2
3.1,82,2
3,111,2
3.2,132,2
3.1,121,2
2.5,116,2
2.1,100,2
2,89,1
3.2,92,2
4.1,71,2
3.9,51,2
3.1,39,2
2,35,1
1.7,64,1
1.6,94,1
1,134,0
0.8,129,0
0.5,125,0
0.5,107,0
0.5,78,0
0.8,91,0
1.7,116,1
4.5,131,2
6.2,113,2
4.4,98,2
2.9,116,2
1.6,120,1
2.6,126,2
2.9,126,2
2.5,90,2
1.9,81,1
1.9,74,1
2.7,67,2
3,46,2
3.3,30,2
3.2,19,2
1.8,32,1
1.3,61,1
1.1,111,1
0.9,102,0
0.7,116,0
0.4,96,0
0.3,97,0
0.3,110,0
0.3,103,0
0.8,79,0
2.8,104,2
3.1,69,2
2.3,96,2
1.6,121,1
1.5,129,1
1.6,116,1
1.8,71,1
1.4,85,1
1.9,101,1
1.2,97,1
2.3,89,2
3.3,72,2
3.1,57,2
3.3,62,2
