CO(GT),NO2(GT),PT08.S2(NMHC),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO Class
2.6,113,1046,1692,1268,13.6,48.9,0.7578,2
2,92,955,1559,972,13.3,47.7,0.7255,1
2.2,114,939,1555,1074,11.9,54,0.7502,2
2.2,122,948,1584,1203,11,60,0.7867,2
1.6,116,836,1490,1110,11.2,59.6,0.7888,1
1.2,96,750,1393,949,11.2,59.2,0.7848,1
1.2,77,690,1333,733,11.3,56.8,0.7603,1
1,76,672,1333,730,10.7,60,0.7702,0
0.9,60,609,1276,620,10.7,59.7,0.7648,0
0.6,34,561,1235,501,10.3,60.2,0.7517,0
0.7,28,527,1197,445,10.1,60.5,0.7465,0
0.7,48,512,1182,422,11,56.2,0.7366,0
1.1,82,553,1221,472,10.5,58.1,0.7353,1
2,112,667,1339,730,10.2,59.6,0.7417,1
2.2,101,900,1517,1102,10.8,57.4,0.7408,2
1.7,98,960,1583,1028,10.5,60.6,0.7691,1
1.5,92,827,1446,860,10.8,58.4,0.7552,1
1.6,95,762,1362,671,10.5,57.9,0.7352,1
1.9,112,774,1401,664,9.5,66.8,0.7951,1
2.9,128,869,1537,799,8.3,76.4,0.8393,2
2.2,126,1034,1730,1037,8,81.1,0.8736,2
2.2,131,933,1647,946,8.3,79.8,0.8778,2
2.9,135,912,1591,957,9.7,71.2,0.8569,2
4.8,151,1020,1719,1104,9.8,67.6,0.8185,2
6.9,172,1319,2083,1409,10.3,64.2,0.8065,2
6.1,165,1488,2333,1704,9.7,69.3,0.8319,2
3.9,136,1404,2191,1654,9.6,67.8,0.8133,2
1.5,85,1076,1707,1285,9.1,64,0.7419,1
1,53,749,1333,821,8.2,63.4,0.6905,0
1.7,97,629,1252,552,8.2,60.8,0.6657,1
1.9,110,805,1375,816,8.3,58.5,0.6438,1
1.4,91,829,1378,832,7.7,59.7,0.6308,1
0.8,32,718,1304,692,7.1,61.8,0.6276,0
0.6,44,574,1187,512,7,62.3,0.6261,0
0.8,71,506,1134,384,6.1,65.9,0.6248,0
1.4,104,501,1155,394,6.3,65,0.6233,1
4.4,141,571,1223,487,6.8,62.9,0.6234,2
3.1,122,730,1361,748,6.4,65.1,0.6316,2
2.7,143,1236,1900,1400,7.3,63.1,0.6499,2
2.1,113,1353,2058,1588,9.2,56.2,0.6561,2
2.5,116,1118,1712,1237,13.2,41.7,0.632,2
2.7,123,1037,1598,1167,14.3,38.4,0.6243,2
2.9,126,986,1537,959,15,36.5,0.6195,2
2.8,120,1016,1593,983,16.1,34.5,0.6262,2
2.4,119,1078,1660,1061,16.3,35.7,0.656,2
3.9,149,1122,1740,1139,15.8,37,0.661,2
3.7,145,1073,1657,1112,15.9,37.2,0.6657,2
6.6,170,1041,1610,994,16.9,34.3,0.6549,2
4.4,149,1277,1910,1410,15.1,39.6,0.6766,2
3.5,139,1246,1847,1448,14.4,43.4,0.7084,2
5.4,134,1610,2390,1887,12.9,50.5,0.7478,2
2.7,113,1299,1941,1627,12.1,53.3,0.7536,2
1.9,97,1127,1723,1491,11,59.1,0.774,1
1.6,82,1346,2062,1657,9.7,64.6,0.7771,1
1.7,83,964,1544,1285,9.5,64.1,0.7597,1
1,65,873,1463,1144,9.1,63.9,0.7423,0
1.2,60,782,1365,1043,8.8,63.9,0.7256,1
1.5,77,783,1380,996,7.8,67.5,0.7173,1
2.7,96,821,1412,992,7,71.1,0.7158,2
3.7,119,625,1274,819,8.3,63.6,0.6982,2
3.2,126,646,1268,835,7.2,67.5,0.6887,2
4.1,158,770,1409,940,6.3,71.9,0.6932,2
3.6,161,1043,1678,1192,6.5,71.6,0.6945,2
2.8,124,1153,1777,1411,9.6,59.7,0.7124,2
2,102,1081,1667,1465,12.4,51.2,0.7335,1
2,116,1184,1780,1583,15.6,42.2,0.7451,1
2.5,124,1117,1679,1387,18.4,33.8,0.709,2
2.3,125,1059,1600,1101,19.4,31.3,0.695,2
3.2,148,924,1488,850,18,34.8,0.7127,2
4.2,165,947,1532,947,18.4,33.6,0.7042,2
4.2,161,987,1554,1078,17.6,35.1,0.7012,2
4.2,159,1000,1602,1084,16.7,37.8,0.7117,2
3.1,143,1163,1779,1395,16.1,41,0.7451,2
2.6,130,1286,1922,1612,15.8,42.4,0.7569,2
2.9,129,1274,1915,1697,15.7,44.1,0.7786,2
2.8,119,1247,1860,1886,15.3,46.8,0.8091,2
